"regional";"endereco";"bairro";"localidade";"descricao";"latitude";"longitude"
"Sul";"Rua Doutor Cézar Montezuma 46";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128689";"-34.950349"
"Sul";"Rua Doutor Cézar Montezuma 76";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128733";"-34.950666"
"Sul";"Rua Doutor Cézar Montezuma 86";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128687";"-34.950784"
"Sul";"Rua Doutor Cézar Montezuma 56";"Ibura";"Lagoa Encantada";"Deslizamento";" -8.128698";"-34.950476"
"Sul";"Rua Doutor Cézar Montezuma 95";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128669";"-34.950856"
"Sul";"Rua Doutor Cézar Montezuma 106";"Ibura";"Lagoa Encantada";"Ponto de Colocação de Lona";" -8.128650";"-34.950947"
"Sul";"Rua Doutor Cézar Montezuma 126A";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128613";"-34.951119"
"Sul";"Rua Doutor Cézar Montezuma126B";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128604";"-34.951174"
"Sul";"1 Travessa Doutor Cézar Montezuma 60";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128322";"-34.951426"
"Sul";"1 Travessa Doutor Cézar Montezuma 61";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128313";"-34.951417"
"Sul";"Rua Doutor Cézar Montezuma 129";"Ibura";"Lagoa Encantada";"Ponto de Colocação de Lona";" -8.128603";"-34.951400"
"Sul";"Rua Doutor Cézar Montezuma 136";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128666";"-34.951455"
"Sul";"Rua Doutor Cézar Montezuma 140";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128620";"-34.951500"
"Sul";"Rua Doutor Cézar Montezuma 146";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128584";"-34.951546"
"Sul";"Rua Doutor Cézar Montezuma 142";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128629";"-34.951600"
"Sul";"Rua Doutor Cézar Montezuma 145";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128565";"-34.951636"
"Sul";"Rua Doutor Cézar Montezuma 147";"Ibura";"Lagoa Encantada";"Ponto de Colocação de Lona";" -8.128637";"-34.951700"
"Sul";"Rua Doutor Cézar Montezuma 149";"Ibura";"Lagoa Encantada";"Deslizamento";" -8.128583";"-34.951745"
"Sul";"Rua Doutor Cézar Montezuma 150A";"Ibura";"Lagoa Encantada";"Área de Risco Nível 3";" -8.128601";"-34.951782"
