state,cidade,data_level,tide_code,active,total_bairros,slope_nao_placeholder,slope_placeholder,com_hidro_real,costeiros,com_score_calculado
AL,"Maceió",partial,30725,true,50,50,0,50,21,50
AL,"Arapiraca",minimal,,true,42,42,0,42,0,42
AL,"Palmeira dos Índios",minimal,,true,19,19,0,19,0,19
AL,"Barra de São Miguel",partial,,true,10,10,0,10,10,10
AL,"Penedo",minimal,,true,9,9,0,9,0,9
AL,"Maragogi",minimal,,true,2,2,0,2,2,2
AL,"Piranhas",minimal,,true,2,2,0,2,0,2
AL,"Coruripe",minimal,,true,2,2,0,2,2,2
AL,"Porto de Pedras",minimal,,true,2,2,0,2,2,2
AL,"Pão de Açúcar",minimal,,true,2,2,0,2,0,2
AL,"Olho d'Água das Flores",minimal,,true,2,2,0,2,0,2
AL,"União dos Palmares",minimal,,true,2,2,0,2,0,2
AL,"Atalaia",minimal,,true,2,2,0,2,0,2
AL,"Viçosa",minimal,,true,2,2,0,2,0,2
AL,"Capela",minimal,,true,2,2,0,2,0,2
AL,"Santana do Mundaú",minimal,,true,2,2,0,2,0,2
AL,"Piaçabuçu",minimal,,true,2,2,0,2,2,2
AL,"Major Isidoro",minimal,,true,2,2,0,2,0,2
AL,"Girau do Ponciano",minimal,,true,1,1,0,1,0,1
AL,"Ibateguara",minimal,,true,1,1,0,1,0,1
AL,"Igaci",minimal,,true,1,1,0,1,0,1
AL,"Igreja Nova",minimal,,true,1,1,0,1,0,1
AL,"Inhapi",minimal,,true,1,1,0,1,0,1
AL,"Jacaré dos Homens",minimal,,true,1,1,0,1,0,1
AL,"Jacuípe",minimal,,true,1,1,0,1,0,1
AL,"Japaratinga",minimal,,true,1,1,0,1,1,1
AL,"Jaramataia",minimal,,true,1,1,0,1,0,1
AL,"Jequiá da Praia",minimal,,true,1,1,0,1,1,1
AL,"Joaquim Gomes",minimal,,true,1,1,0,1,0,1
AL,"Jundiá",minimal,,true,1,1,0,1,0,1
AL,"Junqueiro",minimal,,true,1,1,0,1,0,1
AL,"Lagoa da Canoa",minimal,,true,1,1,0,1,0,1
AL,"Limoeiro de Anadia",minimal,,true,1,1,0,1,0,1
AL,"Mar Vermelho",minimal,,true,1,1,0,1,0,1
AL,"Maravilha",minimal,,true,1,1,0,1,0,1
AL,"Marechal Deodoro",minimal,,true,1,1,0,1,1,1
AL,"Maribondo",minimal,,true,1,1,0,1,0,1
AL,"Mata Grande",minimal,,true,1,1,0,1,0,1
AL,"Matriz de Camaragibe",minimal,,true,1,1,0,1,0,1
AL,"Messias",minimal,,true,1,1,0,1,0,1
AL,"Minador do Negrão",minimal,,true,1,1,0,1,0,1
AL,"Monteirópolis",minimal,,true,1,1,0,1,0,1
AL,"Murici",minimal,,true,1,1,0,1,0,1
AL,"Novo Lino",minimal,,true,1,1,0,1,0,1
AL,"Olho d'Água do Casado",minimal,,true,1,1,0,1,0,1
AL,"Olho d'Água Grande",minimal,,true,1,1,0,1,0,1
AL,"Olivença",minimal,,true,1,1,0,1,0,1
AL,"Água Branca",minimal,,true,1,1,0,1,0,1
AL,"Ouro Branco",minimal,,true,1,1,0,1,0,1
AL,"Anadia",minimal,,true,1,1,0,1,0,1
AL,"Barra de Santo Antônio",minimal,,true,1,1,0,1,1,1
AL,"Batalha",minimal,,true,1,1,0,1,0,1
AL,"Belém",minimal,,true,1,1,0,1,0,1
AL,"Belo Monte",minimal,,true,1,1,0,1,0,1
AL,"Boca da Mata",minimal,,true,1,1,0,1,0,1
AL,"Branquinha",minimal,,true,1,1,0,1,0,1
AL,"Cacimbinhas",minimal,,true,1,1,0,1,0,1
AL,"Palestina",minimal,,true,1,1,0,1,0,1
AL,"Pariconha",minimal,,true,1,1,0,1,0,1
AL,"Paripueira",minimal,,true,1,1,0,1,1,1
AL,"Passo de Camaragibe",minimal,,true,1,1,0,1,1,1
AL,"Paulo Jacinto",minimal,,true,1,1,0,1,0,1
AL,"Pilar",minimal,,true,1,1,0,1,0,1
AL,"Pindoba",minimal,,true,1,1,0,1,0,1
AL,"Poço das Trincheiras",minimal,,true,1,1,0,1,0,1
AL,"Porto Calvo",minimal,,true,1,1,0,1,1,1
AL,"Porto Real do Colégio",minimal,,true,1,1,0,1,0,1
AL,"Quebrangulo",minimal,,true,1,1,0,1,0,1
AL,"Rio Largo",minimal,,true,1,1,0,1,0,1
AL,"Roteiro",minimal,,true,1,1,0,1,1,1
AL,"Santa Luzia do Norte",minimal,,true,1,1,0,1,0,1
AL,"Santana do Ipanema",minimal,,true,1,1,0,1,0,1
AL,"São Brás",minimal,,true,1,1,0,1,0,1
AL,"São José da Laje",minimal,,true,1,1,0,1,0,1
AL,"São Luís do Quitunde",minimal,,true,1,1,0,1,0,1
AL,"São Miguel dos Campos",minimal,,true,1,1,0,1,0,1
AL,"São Miguel dos Milagres",minimal,,true,1,1,0,1,1,1
AL,"São Sebastião",minimal,,true,1,1,0,1,0,1
AL,"Satuba",minimal,,true,1,1,0,1,0,1
AL,"Senador Rui Palmeira",minimal,,true,1,1,0,1,0,1
AL,"Tanque d'Arca",minimal,,true,1,1,0,1,0,1
AL,"Taquarana",minimal,,true,1,1,0,1,0,1
AL,"Teotônio Vilela",minimal,,true,1,1,0,1,0,1
AL,"Traipu",minimal,,true,1,1,0,1,0,1
AL,"São José da Tapera",minimal,,true,1,1,0,1,0,1
AL,"Cajueiro",minimal,,true,1,1,0,1,0,1
AL,"Campestre",minimal,,true,1,1,0,1,0,1
AL,"Campo Alegre",minimal,,true,1,1,0,1,0,1
AL,"Campo Grande",minimal,,true,1,1,0,1,0,1
AL,"Canapi",minimal,,true,1,1,0,1,0,1
AL,"Carneiros",minimal,,true,1,1,0,1,0,1
AL,"Chã Preta",minimal,,true,1,1,0,1,0,1
AL,"Coité do Nóia",minimal,,true,1,1,0,1,0,1
AL,"Colônia Leopoldina",minimal,,true,1,1,0,1,0,1
AL,"Coqueiro Seco",minimal,,true,1,1,0,1,0,1
AL,"Craíbas",minimal,,true,1,1,0,1,0,1
AL,"Delmiro Gouveia",minimal,,true,1,1,0,1,0,1
AL,"Dois Riachos",minimal,,true,1,1,0,1,0,1
AL,"Estrela de Alagoas",minimal,,true,1,1,0,1,0,1
AL,"Feira Grande",minimal,,true,1,1,0,1,0,1
AL,"Feliz Deserto",minimal,,true,1,1,0,1,1,1
AL,"Flexeiras",minimal,,true,1,1,0,1,0,1
BA,"Salvador",full,40140,true,170,168,2,168,94,170
BA,"Juazeiro",minimal,,true,62,62,0,62,0,62
BA,"Feira de Santana",minimal,,true,59,59,0,59,0,59
BA,"Itabuna",minimal,,true,56,56,0,56,0,56
BA,"Ilhéus",partial,40145,true,38,38,0,38,29,38
BA,"Vitória da Conquista",minimal,,true,36,36,0,31,0,36
BA,"Santo Antônio de Jesus",minimal,,true,25,25,0,25,0,25
BA,"Lauro de Freitas",partial,,true,19,19,0,19,7,19
BA,"Ruy Barbosa",minimal,,true,18,18,0,18,0,18
BA,"Euclides da Cunha",minimal,,true,13,13,0,13,0,13
BA,"Uruçuca",partial,,true,10,10,0,10,1,10
BA,"Jequié",minimal,,true,8,8,0,8,0,8
BA,"Morro do Chapéu",minimal,,true,7,7,0,7,0,7
BA,"Sento Sé",minimal,,true,7,7,0,7,0,7
BA,"Candeias",minimal,40135,true,7,7,0,7,5,7
BA,"Conceição do Coité",minimal,,true,6,6,0,6,0,6
BA,"Gentio do Ouro",minimal,,true,6,6,0,6,0,6
BA,"Maragogipe",minimal,,true,6,6,0,6,1,6
BA,"Valença",minimal,,true,5,5,0,5,3,5
BA,"Jacobina",minimal,,true,5,5,0,5,0,5
BA,"Unas",minimal,,true,5,5,0,0,2,5
BA,"Casa Nova",minimal,,true,5,5,0,5,0,5
BA,"Jaguaripe",minimal,,true,5,5,0,5,4,5
BA,"Caetité",minimal,,true,5,5,0,5,0,5
BA,"Porto Seguro",minimal,,true,5,5,0,0,4,5
BA,"Curaçá",minimal,,true,5,5,0,5,0,5
BA,"Livramento de Nossa Senhora",minimal,,true,4,4,0,4,0,4
BA,"Jandaíra",minimal,,true,4,4,0,4,2,4
BA,"Mucuri",minimal,,true,4,4,0,0,1,4
BA,"São Sebastião do Passé",minimal,,true,4,4,0,4,0,4
BA,"Amargosa",minimal,,true,4,4,0,4,0,4
BA,"Caravelas",minimal,,true,4,4,0,0,1,4
BA,"Ibipeba",minimal,,true,4,4,0,4,0,4
BA,"Palmas de Monte Alto",minimal,,true,4,4,0,4,0,4
BA,"Mirangaba",minimal,,true,4,4,0,4,0,4
BA,"Vera Cruz",minimal,,true,4,4,0,4,4,4
BA,"Guanambi",minimal,,true,4,4,0,4,0,4
BA,"Pilão Arcado",minimal,,true,4,4,0,4,0,4
BA,"Pindobaçu",minimal,,true,4,4,0,4,0,4
BA,"Piritiba",minimal,,true,4,4,0,4,0,4
BA,"Irecê",minimal,,true,4,4,0,4,0,4
BA,"Brumado",minimal,,true,4,4,0,4,0,4
